Date,Portfolio,SPY
2022-12-05,6028418.900002316,224109.55683554593
2022-12-06,5990030.778614989,220882.80239802392
2022-12-07,5946679.311247015,220506.6415892782
2022-12-08,6041212.088292198,222234.63030445392
2022-12-09,5951543.272184056,220571.29422828136
2022-12-12,6087810.528929876,223751.0285647102
2022-12-13,6128253.513055415,225449.62971670265
2022-12-14,6079051.562039888,224003.76160808624
2022-12-15,5960746.254682088,218525.91983072646
2022-12-16,5893856.813357631,215945.69178323622
2022-12-19,5858514.5478610555,214111.90784060073
2022-12-20,5905334.987959409,214405.78347243334
2022-12-21,5994755.979307085,217614.9053720454
2022-12-22,5958334.925829047,214511.5786998931
2022-12-23,5999569.09919468,215745.85635359006
2022-12-27,5940355.124406403,214893.6170212755
2022-12-28,5843708.402375536,212219.34877159877
2022-12-29,5997418.57132655,216039.73198542267
2022-12-30,5996445.871800895,215475.49077230407
2023-01-03,6011480.164834241,214564.47631362302
2023-01-04,6188252.115996188,216221.93487715887
2023-01-05,6171064.79310134,213753.37956976498
2023-01-06,6312230.945118754,218655.22510873285
2023-01-09,6326883.460525551,218531.7973433632
2023-01-10,6406721.550363683,220065.8281415294
2023-01-11,6469162.356389395,222845.89161866583
2023-01-12,6516843.3266183715,223656.98836252384
2023-01-13,6580637.390459972,224526.8602327484
2023-01-17,6576873.299513776,224115.43434818278
2023-01-18,6535409.463397639,220577.17174091822
2023-01-19,6424189.066340705,218972.61079111218
2023-01-20,6571248.75996119,223051.60456094873
2023-01-23,6714408.609406214,225725.87281062547
2023-01-24,6732825.832718473,225484.8947925227
2023-01-25,6738122.196905156,225567.17996943582
2023-01-26,6817694.922424457,228047.49030210308
2023-01-27,6801299.474478108,228570.58892676508
2023-01-30,6694437.925624169,225702.36276007883
2023-01-31,6833574.875059384,229023.15739978736
2023-02-01,6944626.96648019,231456.44763136134
2023-02-02,7087435.042591962,234824.26237216298
2023-02-03,7092926.487288365,232332.19701422253
2023-02-06,7063711.529332464,230909.83895615267
2023-02-07,7163563.194942535,233930.88045139186
2023-02-08,7144988.715969431,231374.1624544482
2023-02-09,7149828.466829186,229364.0531327132
2023-02-10,7107881.072603133,229904.78429528518
2023-02-13,7185931.530840409,232602.56259550847
2023-02-14,7270297.4483100595,232490.88985541207
2023-02-15,7286028.661393548,233249.08898554018
2023-02-16,7304684.371335109,230039.9670859281
2023-02-17,7247555.993186036,229463.97084753626
2023-02-21,7113719.47930509,224861.87845303759
2023-02-22,7144076.599027034,224550.37028329502
2023-02-23,7384210.219047022,225743.5053485354
2023-02-24,7281938.188259539,223333.72516750803
2023-02-27,7308012.745870036,224091.92429763617
2023-02-28,7330125.500461215,223263.19501586823
2023-03-01,7258045.799694859,222410.9556835537
2023-03-02,7352876.945611768,224138.94439872948
2023-03-03,7481208.485789905,227730.10461972395
2023-03-06,7441782.405147655,227888.79746091357
2023-03-07,7312139.318168414,224397.5549547422
2023-03-08,7383722.8929845495,224761.96073821466
2023-03-09,7096151.957279212,220618.31432937487
2023-03-10,6921117.480042633,217432.70248030938
2023-03-13,7038060.376465465,217121.19431056682
2023-03-14,7222115.950322375,220712.35453156123
2023-03-15,7246348.317036959,219331.13906194802
2023-03-16,7524113.262830591,223180.90983895518
2023-03-17,7458159.415346778,220571.2942282816
2023-03-20,7514307.814895477,222693.076290113
2023-03-21,7625593.375524334,225620.07758316578
2023-03-22,7534193.729040023,221770.3068061586
2023-03-23,7722926.987101736,222369.81309509708
2023-03-24,7736239.985172088,223833.31374162342
2023-03-27,7792421.453093497,224250.61713882574
2023-03-28,7748923.272625069,223745.15105207363
2023-03-29,7949495.654496134,227001.29305277893
2023-03-30,8028343.2367913565,228329.6109086623
2023-03-31,8150163.099985803,231544.610320911
2023-04-03,8197443.993063632,232426.2372164088
2023-04-04,8176774.801372664,231139.06194898198
2023-04-05,8101486.504983375,230533.6781474068
2023-04-06,8143628.484425859,231432.9375808146
2023-04-10,8233665.334605701,231668.03808628075
2023-04-11,8332117.384680363,231732.69072528387
2023-04-12,8248829.867263478,230786.41119078288
2023-04-13,8375807.521880473,233854.47278711523
2023-04-14,8367612.955666439,233284.35406136
2023-04-17,8411467.665857175,234118.9608557646
2023-04-18,8490750.52357995,234271.77618431757
2023-04-19,8477870.123469558,234230.633595861
2023-04-20,8417839.588606862,232955.2133537075
2023-04-21,8475205.24954177,233137.41624544372
2023-04-24,8477519.454759309,233378.39426354648
2023-04-25,8394496.205499467,229675.5613024556
2023-04-26,8424486.458375584,228699.89420477138
2023-04-27,8501243.917184249,233254.9664981768
2023-04-28,8590496.571653225,235247.44328200188
2023-05-01,8660755.948350146,235006.46526389915
2023-05-02,8333962.428638286,232367.46209004236
2023-05-03,8258635.220711732,230768.77865287292
2023-05-04,8295474.51142649,229134.83013988368
2023-05-05,8427254.136830604,233378.3942635465
2023-05-08,8448043.72455579,233443.0469025497
2023-05-09,8403303.578418057,232414.48219113555
2023-05-10,8435703.553889493,233501.82202891613
2023-05-11,8436899.930890014,233096.27365698712
2023-05-12,8404901.635253394,232790.6429998812
2023-05-15,8477853.040760698,233595.86223110257
2023-05-16,8402935.808633441,232032.44386975307
2023-05-17,8517347.66452787,234847.77242270947
2023-05-18,8674654.230279265,237110.61478782058
2023-05-19,8633511.456876189,236763.84154225807
2023-05-22,8571411.220938122,236863.75925708117
2023-05-23,8506100.74420014,234201.24603267777
2023-05-24,8465229.666340806,232508.5223933219
2023-05-25,8864660.50396174,234518.63171505698
2023-05-26,8979069.171967339,237557.30574820616
2023-05-30,8964367.640971422,237651.34595039257
2023-05-31,8951349.045911673,236328.90560714586
2023-06-01,8995305.793560231,238574.11543434698
2023-06-02,9117368.158149147,242024.2153520618
2023-06-05,9154310.182833862,241559.89185376628
2023-06-06,9147250.414555987,242088.86799106497
2023-06-07,9175335.755062455,241248.3836840237
2023-06-08,9257433.575156135,242711.88433055012
2023-06-09,9274786.905468244,243146.82026566242
2023-06-12,9380900.072952539,245350.88750440694
2023-06-13,9521650.129912794,246967.2034794863
2023-06-14,9693690.997755226,247261.07911131892
2023-06-15,9762099.624851372,250329.1407076514
2023-06-16,9737131.053348757,249476.9013753368
2023-06-20,9715310.86732292,248183.84859527333
2023-06-21,9692853.953021863,246914.3058657565
2023-06-22,9756404.525963128,247801.81027389094
2023-06-23,9673351.78819843,245926.88374279893
2023-06-26,9618948.191825448,244921.8290819314
2023-06-27,9732141.27156927,247607.85235688143
2023-06-28,9769587.793664362,247737.1576348878
2023-06-29,9763582.041759357,248712.82473257201
2023-06-30,9889173.504878808,251645.70353826135
2023-07-03,9849459.395623645,251933.70165745734
2023-07-05,9877292.342998674,251563.41836134825
2023-07-06,9786604.32382339,249588.57411543315
2023-07-07,9731852.526886545,248959.6802633114
2023-07-10,9742791.739125602,249588.57411543315
2023-07-11,9784067.701196732,251181.3800399659
2023-07-12,9917095.48374904,253203.24438697423
2023-07-13,10053522.834202223,255213.3537087093
2023-07-14,10087095.2678556,255054.66086751968
2023-07-17,10156268.44863413,255936.2877630175
2023-07-18,10160169.166135745,257840.6018572928
2023-07-19,10171849.53202938,258410.720583048
2023-07-20,10173559.639991598,256700.36440578222
2023-07-21,10142766.87663274,256700.36440578222
2023-07-24,10155100.72759406,257846.4793699294
2023-07-25,10181736.214635083,258551.78088632767
2023-07-26,10256040.728141665,258587.04596214753
2023-07-27,10350155.85988508,256876.68978488178
2023-07-28,10433207.187779147,259392.2651933689
2023-07-31,10479177.81344415,259885.9762548477
2023-08-01,10433972.95206117,259139.53214999282
2023-08-02,10350547.066195866,255536.61690372508
2023-08-03,10355538.583679827,254801.92782414358
2023-08-04,10305970.274936777,253649.93534735974
2023-08-07,10456117.898456117,255865.7576113776
2023-08-08,10444820.468396574,254749.0302104137
2023-08-09,10361743.19063303,253050.42905842123
2023-08-10,10394830.300054112,253138.59174797102
2023-08-11,10391412.346636996,252991.65393205473
2023-08-14,10416834.02432871,254390.50193957792
2023-08-15,10350112.415666535,251422.3580580686
2023-08-16,10300234.383918433,249582.6966027965
2023-08-17,10180256.425796594,247678.3825085212
2023-08-18,10190047.777938696,247795.93276125425
2023-08-21,10308278.588488812,249412.24873633363
2023-08-22,10272587.197280712,248736.3347831186
2023-08-23,10426808.420665944,251504.64323498175
2023-08-24,10321634.90578243,248019.27824144703
2023-08-25,10361444.692662068,249764.8994945327
2023-08-28,10458852.595640166,251351.82790642875
2023-08-29,10572098.067776743,254984.1307158798
2023-08-30,10590796.056388011,256036.2054778405
2023-08-31,10598979.351277603,255660.0446690948
2023-09-01,10687527.822263345,256136.1231926636
2023-09-05,10741309.670727773,255031.150816973
2023-09-06,10727267.087930359,253314.9171270706
2023-09-07,10732443.185402576,252539.0854590325
2023-09-08,10764131.39120152,252915.24626777822
2023-09-11,10836396.769530572,254578.58234395075
2023-09-12,10755410.753751826,253185.6118490642
2023-09-13,10740699.551796813,253479.48748089682
2023-09-14,10872452.501871271,255665.9221817314
2023-09-15,10775562.462936604,252586.1055601257
2023-09-18,10760488.453426575,252733.04337604195
2023-09-19,10756598.27027758,252209.94475137995
2023-09-20,10748681.83495329,249888.3272599024
2023-09-21,10655691.282762319,245762.31338897257
2023-09-22,10656178.940413201,245209.8272011273
2023-09-25,10740221.802161856,246238.3919125414
2023-09-26,10574327.070693843,242623.72164100033
2023-09-27,10638998.653091783,242717.7618431867
2023-09-28,10759300.995520197,244128.36487598324
2023-09-29,10734648.249286205,243534.73609968138
2023-10-02,10775859.956751248,243434.81838485828
2023-10-03,10640719.507948315,240178.676384153
2023-10-04,10724761.15737453,241924.2976372387
2023-10-05,10690619.010388052,241836.13494768887
2023-10-06,10784436.745554062,244704.3611143751
2023-10-09,10806355.753494015,246273.65698836124
2023-10-10,10883767.168516925,247554.95474315144
2023-10-11,10968015.23728609,248571.76442929226
2023-10-12,10910706.901088636,247055.36616903602
2023-10-13,10848668.95915009,245821.08851533907
2023-10-16,10956982.46467298,248407.19407546602
2023-10-17,10963461.238964897,248401.31656282936
2023-10-18,10926458.255128872,245086.39943575757
2023-10-19,10818447.862645436,242935.22981074287
2023-10-20,10656397.064646682,239949.45339132356
2023-10-23,10742408.801518919,239532.14999412128
2023-10-24,10848634.4531099,241342.42388621013
2023-10-25,10533671.424348582,237874.69143058537
2023-10-26,10366322.998372443,235029.9753144457
2023-10-27,10310865.91139766,233960.268014575
2023-10-30,10410103.441513952,236757.96402962145
2023-10-31,10399788.127426611,238244.97472669446
2023-11-01,10644785.585569376,240789.93769836484
2023-11-02,10747439.062683161,245403.78511813676
2023-11-03,10858234.47402352,247643.11743270123
2023-11-06,10896931.707567245,248213.23615845645
2023-11-07,10982771.109904226,248918.5376748547
2023-11-08,10928116.154124284,249100.74056659092
2023-11-09,10874443.336144485,247155.28388385905
2023-11-10,11130271.04426566,251010.93217350286
