rebalance_date,data_date,ticker,score,rank
2018-09-14,2018-09-14,PEP,0.572803,15
2018-09-21,2018-09-21,V,0.605687,1
2018-09-21,2018-09-21,BA,0.59417,2
2018-09-21,2018-09-21,PG,0.584895,3
2018-09-21,2018-09-21,IBM,0.584156,4
2018-09-21,2018-09-21,KKR,0.580853,5
2018-09-21,2018-09-21,AMGN,0.579578,6
2018-09-21,2018-09-21,ORCL,0.574914,7
2018-09-21,2018-09-21,AXP,0.574718,8
2018-09-21,2018-09-21,MSFT,0.567885,9
2018-09-21,2018-09-21,MELI,0.567196,10
2018-09-21,2018-09-21,BKR,0.561792,11
2018-09-21,2018-09-21,GOOG,0.561517,12
2018-09-21,2018-09-21,AAPL,0.560295,13
2018-09-21,2018-09-21,BKNG,0.559112,14
2018-09-21,2018-09-21,ANET,0.556616,15
2018-09-28,2018-09-28,HON,0.597965,1
2018-09-28,2018-09-28,WMT,0.590543,2
2018-09-28,2018-09-28,JNJ,0.585563,3
2018-09-28,2018-09-28,MSFT,0.582517,4
2018-09-28,2018-09-28,COST,0.582058,5
2018-09-28,2018-09-28,IBM,0.581355,6
2018-09-28,2018-09-28,AXP,0.579907,7
2018-09-28,2018-09-28,GOOG,0.57582,8
2018-09-28,2018-09-28,AMGN,0.573187,9
2018-09-28,2018-09-28,BKR,0.571721,10
2018-09-28,2018-09-28,NFLX,0.567814,11
2018-09-28,2018-09-28,T,0.567529,12
2018-09-28,2018-09-28,GE,0.567024,13
2018-09-28,2018-09-28,V,0.565285,14
2018-09-28,2018-09-28,SYF,0.560218,15
2018-10-05,2018-10-05,COST,0.63589,1
2018-10-05,2018-10-05,AXP,0.605871,2
2018-10-05,2018-10-05,PEP,0.602232,3
2018-10-05,2018-10-05,KDP,0.598119,4
2018-10-05,2018-10-05,FDX,0.596173,5
2018-10-05,2018-10-05,JNJ,0.59518,6
2018-10-05,2018-10-05,MSFT,0.594617,7
2018-10-05,2018-10-05,IBM,0.593305,8
2018-10-05,2018-10-05,HON,0.593089,9
2018-10-05,2018-10-05,AMGN,0.587084,10
2018-10-05,2018-10-05,BA,0.582457,11
2018-10-05,2018-10-05,UAL,0.576258,12
2018-10-05,2018-10-05,ORCL,0.575159,13
2018-10-05,2018-10-05,T,0.57348,14
2018-10-05,2018-10-05,MELI,0.573217,15
2018-10-12,2018-10-12,JNJ,0.642949,1
2018-10-12,2018-10-12,FDX,0.638651,2
2018-10-12,2018-10-12,AXP,0.623575,3
2018-10-12,2018-10-12,PEP,0.619099,4
2018-10-12,2018-10-12,GM,0.605229,5
2018-10-12,2018-10-12,ORCL,0.599207,6
2018-10-12,2018-10-12,MU,0.597223,7
2018-10-12,2018-10-12,ANET,0.5943,8
2018-10-12,2018-10-12,GEF,0.591753,9
2018-10-12,2018-10-12,COST,0.591291,10
2018-10-12,2018-10-12,HON,0.590042,11
2018-10-12,2018-10-12,BN,0.58639,12
2018-10-12,2018-10-12,V,0.585352,13
2018-10-12,2018-10-12,RJF,0.582537,14
2018-10-12,2018-10-12,META,0.577841,15
